Sample: svediakorp-letter141673-Stalhammar, time period: 1700-1749
Metric	Precision	Recall	F1
CCONJ	0.0714	0.0714	0.0714
ADP	0.0938	0.0938	0.0938
TOTAL	0.0751	0.0751	0.0751

----------------------------------------------------------------------
Average scores for time period 1700-1749 (3 samples with a total of 15 sentences):
Metric	Precision	Recall	F1
PART	0.9189	0.8947	0.9067
PRON	0.9662	0.9087	0.9366
ADV	0.9241	0.8795	0.9012
SYM	0.0000	0.0000	0.0000
ADJ	0.9441	0.9325	0.9383
NUM	1.0000	1.0000	1.0000
NOUN	0.8974	0.9444	0.9203
SCONJ	0.8966	0.7761	0.8320
DET	0.9640	0.9469	0.9554
INTJ	0.4444	0.8000	0.5714
AUX	0.8833	0.7794	0.8281
X	0.0000	0.0000	0.0000
VERB	0.9128	0.9128	0.9128
PUNCT	0.9925	1.0000	0.9963
PROPN	0.7412	0.9692	0.8400
CCONJ	0.9518	0.9753	0.9634
ADP	0.9111	0.9213	0.9162
TOTAL	0.9243	0.9243	0.9243

Average scores for time period 1750-1799 (2 samples with a total of 17 sentences):
Metric	Precision	Recall	F1
PART	0.9500	0.9744	0.9620
PRON	0.9765	0.9455	0.9607
ADV	0.9342	0.9045	0.9191
SYM	0.0000	0.0000	0.0000
ADJ	0.9524	0.9524	0.9524
NUM	1.0000	1.0000	1.0000
NOUN	0.9271	0.9521	0.9394
SCONJ	0.9583	0.7931	0.8679
DET	0.9483	0.9649	0.9565
INTJ	0.0000	0.0000	0.0000
AUX	0.8966	0.7761	0.8320
X	0.0000	0.0000	0.0000
VERB	0.9167	0.9257	0.9212
PUNCT	0.9962	1.0000	0.9981
PROPN	0.8333	0.9322	0.8800
CCONJ	0.9600	1.0000	0.9796
ADP	0.9312	0.9670	0.9488
TOTAL	0.9433	0.9433	0.9433

Average scores for time period 1800-1849 (6 samples with a total of 28 sentences):
Metric	Precision	Recall	F1
PART	0.9396	0.9293	0.9344
PRON	0.9705	0.9293	0.9494
ADV	0.9249	0.8986	0.9116
SYM	0.0000	0.0000	0.0000
ADJ	0.9565	0.9367	0.9465
NUM	1.0000	1.0000	1.0000
NOUN	0.9214	0.9630	0.9418
SCONJ	0.8712	0.8088	0.8388
DET	0.9599	0.9546	0.9572
INTJ	0.4286	0.7500	0.5455
AUX	0.9203	0.7649	0.8354
X	0.0000	0.0000	0.0000
VERB	0.9233	0.9379	0.9305
PUNCT	0.9943	1.0000	0.9971
PROPN	0.7847	0.9399	0.8553
CCONJ	0.9609	0.9609	0.9609
ADP	0.9432	0.9413	0.9422
TOTAL	0.9386	0.9386	0.9386

Average scores for time period 1850-1899 (5 samples with a total of 24 sentences):
Metric	Precision	Recall	F1
PART	0.9167	0.9059	0.9112
PRON	0.9709	0.9174	0.9434
ADV	0.9205	0.8733	0.8963
SYM	0.0000	0.0000	0.0000
ADJ	0.9499	0.9254	0.9375
NUM	1.0000	1.0000	1.0000
NOUN	0.9073	0.9577	0.9318
SCONJ	0.8797	0.7905	0.8327
DET	0.9658	0.9585	0.9621
INTJ	0.4444	0.8000	0.5714
AUX	0.8871	0.7746	0.8271
X	0.0000	0.0000	0.0000
VERB	0.9206	0.9261	0.9234
PUNCT	0.9937	1.0000	0.9969
PROPN	0.7778	0.9655	0.8615
CCONJ	0.9590	0.9689	0.9639
ADP	0.9182	0.9335	0.9258
TOTAL	0.9312	0.9312	0.9312

Average scores for time period 1900-1950 (5 samples with a total of 25 sentences):
Metric	Precision	Recall	F1
PART	0.9408	0.8994	0.9196
PRON	0.9644	0.9207	0.9420
ADV	0.9274	0.8841	0.9052
SYM	0.0000	0.0000	0.0000
ADJ	0.9548	0.9217	0.9379
NUM	1.0000	1.0000	1.0000
NOUN	0.9100	0.9596	0.9341
SCONJ	0.8600	0.8000	0.8289
DET	0.9605	0.9472	0.9538
INTJ	0.4444	0.8000	0.5714
AUX	0.9194	0.7490	0.8255
X	0.0000	0.0000	0.0000
VERB	0.9147	0.9338	0.9241
PUNCT	0.9922	1.0000	0.9961
PROPN	0.7554	0.9574	0.8444
CCONJ	0.9544	0.9544	0.9544
ADP	0.9383	0.9276	0.9329
TOTAL	0.9310	0.9310	0.9310

